watch_date,film_title,release_year,rating
2025-05-03,The Outside,2022,8
2025-05-02,Thunderbolts*,2025,9
2025-04-28,Bud Abbott and Lou Costello Meet Frankenstein,1948,6
2025-04-27,The Autopsy,2022,10
2025-04-20,Graveyard Rats,2022,9
2025-04-19,Lot 36,2022,8
2025-04-18,Werewolf Women of the S.S.,2007,8
2025-04-18,Captain America: Brave New World,2025,8
2025-04-17,The Cursed,2021,7
2025-04-17,Revenge of the Creature,1955,8
2025-04-16,Victor Frankenstein,2015,10
2025-04-16,The Mummy's Ghost,1944,3
2025-04-16,Creature from the Black Lagoon,1954,9
2025-04-15,Geometry,1987,7
2025-04-15,Hollow Man,2000,9
2025-04-15,Mary Shelley's Frankenstein,1994,8
2025-04-14,House of Dracula,1945,6
2025-04-10,The Phantom of the Opera,1925,9
2025-04-10,House of Frankenstein,1944,9
2025-04-10,The Mummy,1999,8
2025-04-09,Bram Stoker's Dracula,1992,8
2025-04-09,The Invisible Man,2020,8
2025-04-08,Wolf Man,2025,8
2025-04-08,The Invisible Man's Revenge,1944,9
2025-04-07,The Wolfman,2010,9
2025-04-07,The Mummy's Tomb,1942,4
2025-04-07,Son of Dracula,1943,8
2025-04-06,Dracula,2020,9
2025-04-06,Invisible Agent,1942,5
2025-04-06,Dr. Jekyll and Mr. Hyde,1912,7
2025-04-06,Frankenstein,1910,8
2025-04-05,The Mummy's Hand,1940,8
2025-04-05,The Invisible Woman,1940,6
2025-04-04,Frankenstein Meets the Wolf Man,1943,8
2025-04-04,Abigail,2024,9
2025-04-04,The Ghost of Frankenstein,1942,6
2025-04-03,The Wolf Man,1941,9
2025-04-02,The Invisible Man Returns,1940,9
2025-04-02,Son of Frankenstein,1939,9
2025-04-01,Dracula's Daughter,1936,6
2025-03-31,Bride of Frankenstein,1935,10
2025-03-27,The Invisible Man,1933,10
2025-03-26,The Mummy,1932,9
2025-03-25,Frankenstein,1931,9
2025-03-24,Dracula,1931,9
2025-03-20,Veronica,2017,7
2025-03-19,Halloween Ends,2022,8
2025-03-18,Halloween Kills,2021,8
2025-03-17,Halloween,2018,9
2025-03-15,Halloween II,2009,5
2025-03-12,Halloween,2007,9
2025-03-12,Halloween: Resurrection,2002,4
2025-03-11,Halloween H20: 20 Years Later,1998,8
2025-03-11,Halloween: The Curse of Michael Myers,1995,4
2025-03-10,Halloween 5: The Revenge of Michael Myers,1989,5
2025-03-09,Halloween 4: The Return of Michael Myers,1988,7
2025-03-08,Halloween III: Season of the Witch,1982,8
2025-03-07,Halloween II,1981,6
2025-03-06,Halloween,1978,7
2025-03-05,Friday the 13th,2009,7
2025-03-04,A Nightmare on Elm Street,2010,7
2025-03-04,Freddy vs. Jason,2003,9
2025-03-02,Jason Goes to Hell: The Final Friday,1993,8
2025-03-02,Friday the 13th Part VIII: Jason Takes Manhattan,1989,4
2025-03-01,Friday the 13th Part VII: The New Blood,1988,8
2025-03-01,Friday the 13th Part VI: Jason Lives,1986,9
2025-02-28,Friday the 13th: A New Beginning,1985,3
2025-02-28,Friday the 13th: The Final Chapter,1984,6
2025-02-27,Friday the 13th Part III,1982,6
2025-02-26,Friday the 13th Part 2,1981,5
2025-02-25,Friday the 13th,1980,7
2025-02-23,New Nightmare,1994,10
2025-02-21,Freddy's Dead: The Final Nightmare,1991,6
2025-02-19,A Nightmare on Elm Street: The Dream Child,1989,5
2024-12-25,Nosferatu,2024,9
2024-11-06,Venom: The Last Dance,2024,5
2024-11-05,Venom: Let There Be Carnage,2021,7
2024-11-04,Venom,2018,9
2024-08-28,MaXXXine,2024,7
2024-08-25,Pearl,2022,10
2024-08-24,X,2022,9
2024-08-18,Spider-Man: No Way Home,2021,9
2024-08-17,Spider-Man: Far From Home,2019,7
2024-08-16,Spider-Man: Homecoming,2017,9
2024-08-14,Scream VI,2023,8
2024-08-13,The Amazing Spider-Man 2,2014,9
2024-08-13,Scream,2022,9
2024-08-12,The Amazing Spider-Man,2012,7
2024-08-12,Scream 4,2011,10
2024-08-11,Scream 3,2000,6
2024-08-10,Scream 2,1997,6
2024-08-10,Scream,1996,10
2024-08-09,Spider-Man 3,2007,10
2024-08-08,Spider-Man 2,2004,10
2024-08-07,Spider-Man,2002,10
2024-08-06,Spider-Man: Across the Spider-Verse,2023,9
2024-08-05,Spider-Man: Into the Spider-Verse,2018,9
2024-08-01,Deadpool & Wolverine,2024,8
2024-07-22,The Flash,2023,8
2024-05-23,Renfield,2023,7
2024-05-23,The Last Voyage of the Demeter,2023,8
